metabolite,molecular_formula,knapsack_cid,function,target,bunken
isosafrole,C10H10O2,C00002753,used to modify oriental perfumes,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
p-methoxycinnamaldehyde,C10H10O2,C00002757,active against germination,Abutilon avicennae,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
p-methoxycinnamaldehyde,C10H10O2,C00002757,herbicidal activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,act as a depressant of the central nervous system,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
safrole,C10H10O2,C00002771,anticonvulsant activity,"","Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42"
danielone,C10H12O5,C00002692,"antifungal agent, with an ED50 of 50-75 p.p.m.",Colletotrichum gloesporioides,"Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter41"
Thymol,C10H14O,C00000155,allelopathic activity,"",""
4-Phenylbutan-2-one,C10H12O,C00000157,allelopathic activity,"",""
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce pathenocarpy,Lycopersicon esculentum,"Bangerth,Acta Hort.,80,(1978),169-174;Bunger-Kibler,Plant Growth Regul.,1,(1982/3),143-154"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce pathenocarpy,Malus pumila,"Bangerth,Acta Hort.,80,(1978),169-174"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce pathenocarpy,Pyrus communis,"Bangerth,Acta Hort.,80,(1978),169-174"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce pedicel abscission,Pyrus communis,"Pierik,Physiol.Plant.,48,(1980),5-8"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce petiole abscission,Impatiens sultani,"Wilson,Ann.Bot.,57,(1986),511-530"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce petiole epinasty,Coleus blumei,"Lyon,Plant Physiol.,38,(1963),145-152;Lyon,Plant Physiol.,38,(1963),567-576;Palmer,Plant Physiol.,58,(1976),513-515"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce petiole epinasty,Euphorbia pulcherrima,"Lyon,Plant Physiol.,38,(1963),567-576;Reid,Plant Physiol.,67,(1981),950-952"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce petiole epinasty,Helianthus annuus,"Palmer,Physiol.Plant.,16,(1963),572-584;Palmer,J.Exp.Bot.,23,(1972),733-743"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce petiole epinasty,Lycopersicon esculentum,"Lyon,Plant Physiol.,38,(1963),567-576;Ursin,Plant Physiol.,90,(1989),1341-1346"
Indole-3-acetic acid;IAA,C10H9NO2,C00000100,induce shoot regeneration on callus,Haworthia,"Ogihara,Bot.Mag.,92,(1979),163-171"
