ID,親ID,名称,別称,URL,分類,説明,稼働状況,Database name,Alternative name,URL (English),Database description,Operation status,カタログリンク（日本語）,カタログリンク（英語）,横断検索リンク,アーカイブリンク（日本語）,アーカイブリンク（英語）,RDFポータルリンク,ヒトDB ID,ヒトDBリンク（日本語）,ヒトDBリンク（英語）
NBDC00001,,Integbioデータベースカタログ,,http://integbio.jp/dbcatalog,データベース,"国内外の生命科学系データベースの所在情報 (URL)と、データベースについての説明や生物種などの基本的な属性情報 (メタデータ)をまとめたデータベースです。

文部科学省、厚生労働省、農林水産省、経済産業省の4省による生命科学系データベース統合の取り組みの一環としてこれまで4省が独自にもっていた以下のデータベースのリストを集約し、4省にまたがるデータベースカタログを構築しました。2011年12月にベータ版を公開し、2012年10月には正規公開版サイトを公開しました。その後も4省が協力して継続的にデータベースの情報を収集し、カタログへの追加・更新を行っています。



- 生命科学系データベースカタログ

- WINGpro

- MEDALSデータベース便覧

- AgrIDのデータベース便覧

- 医薬基盤・健康・栄養研究所のデータベースリスト",稼動中,Integbio Database Catalog,,http://integbio.jp/dbcatalog/?lang=en,"This database collects URL information from international life science databases and the associated basic metadata, including descriptions of the database and information about the species. Databases include those independently operated by the Ministry of Education, Culture, Sports, Science and Technology, the Ministry of Health, Labour and Welfare, the Ministry of Agriculture, Forestry and Fisheries, and the Ministry of Economy, Trade and Industry. Since the catalog began in October 2012, the respective ministries have continued to accumulate information for the database, adding to and updating the catalog, which includes:



- Database Catalog

- WINGpro

- MEDALS Database Catalog

- AgrID Database Catalog

- National Institute of Biomedical Innovation database list",Active,https://integbio.jp/dbcatalog/record/nbdc00001,https://integbio.jp/dbcatalog/en/record/nbdc00001,t,,,https://integbio.jp/rdf/dataset/dbcatalog,,,
NBDC00002,,3DinSight,,http://gibk26.bio.kyutech.ac.jp/jouhou/3dinsight/3DinSight.html,データベース,生体分子の構造、機能及び物性に関する統合型データベースです。蛋白質立体構造データベース (PDB)を中心に、PROSITE、Protein Mutant Database (PMD)などの機能情報、PIR、SWISSPROT、アミノ酸の物理化学的性質などのデータをリレーショナルデータベース上に統合しました。構造、機能、物性を組み合わせたさなざまな検索を行い、これらの間の関係について調べることができます。構造と機能及び物性の間の関係性については可視化を行っています (例：自動的に機能部位をマッピングした構造データのリアルタイム3D表示など）。,休止,3DinSight,,http://gibk26.bio.kyutech.ac.jp/jouhou/3dinsight/3DinSight.html,"3DinSight is a database that helps users explore the relationship between the structure, function, and properties of biomolecules. Structural data are derived from the Protein Data Bank (PDB) and displayed as real-time 3D images by RasMol and Virtual Reality Modeling Language (VRML). Functional domains and mutations are identified by PROSITE and Protein Mutant Database, respectively.",Inactive,https://integbio.jp/dbcatalog/record/nbdc00002,https://integbio.jp/dbcatalog/en/record/nbdc00002,t,,,,,,
NBDC00003,,5'SAGE,,http://5sage.gi.k.u-tokyo.ac.jp/,データベース,"ヒト細胞株11ラインについて、5' SAGE法を用いて網羅的に遺伝子発現の解析を行った結果を収録したデータベースです。ライン間の発現の違いが分かりやすく表示されます。
オリジナルSAGE法は3'側の特定の断片を用いて遺伝子を特定するものであり、最長27bpの断片を用いることで発現遺伝子のゲノム上の位置を決定することができます。しかしながら5'端の情報は正確でないものが多く、遺伝子の機能を明らかにする上で問題になることがあります。こうした問題を克服し、さらに詳細な解析を行うため、転写開始点及び遺伝子発現頻度を観察できる5'-end SAGE (5'SAGE)法を開発しました。",休止,5'SAGE,5'-end serial analysis of gene expression database,http://5sage.gi.k.u-tokyo.ac.jp/,,Inactive,https://integbio.jp/dbcatalog/record/nbdc00003,https://integbio.jp/dbcatalog/en/record/nbdc00003,,,,,,,
NBDC00004,,AAindex,,http://www.genome.jp/aaindex/,データベース,"アミノ酸やアミノ酸ペアの物理化学的、生化学的な様々な特性を、過去の文献データの収集とクラスター解析により数値で指標化したデータベースです。AAindex1、AAindex2、AAindex3の3つのデータベースから構成されています。
AAindex1：アミノ酸の特性を表現した20の数値セットのデータベース
AAindex2：アミノ酸置換行列のデータベース
AAindex3：アミノ酸間の相互作用ポテンシャルのデータベース",稼動中,AAindex,"Amino acid indices, substitution matrices and pair-wise contact potentials",http://www.genome.jp/aaindex/,"The AAindex database collects and organizes amino acid properties. Users can search from dozens of studies summarizing multiple biophysical parameters for three types of information:
- AAindex1: Biophysical properties of individual amino acids. All indexed studies have been compared to other studies in the database and pairwise correlation coefficients between related studies are provided. 
- AAindex2: Substitution indices indicating amino acid similarity.
- AAindex3: Pairwise contact potentials between amino acids in various contexts.
All three databases can be searched either by study or keyword using DBGET.",Active,https://integbio.jp/dbcatalog/record/nbdc00004,https://integbio.jp/dbcatalog/en/record/nbdc00004,t,,,,,,
NBDC00005,,ANIMAL SEARCH SYSTEM (マウス系統検索）,,http://www2.brc.riken.jp/lab/animal/search.php,データベース,ヒトのモデル動物として遺伝子機能の解明、病気の治療法や薬の開発に役立つマウスについて、その系統の収集・保存・提供を実施しています。このマウス系統検索では、フリーキーワード、系統名、遺伝子名、RBRC NOを指定することが可能です。系統の種類や研究目的から探すこともできます。またオンラインで提供依頼書の作成ができます。オンラインカタログで検索したリソースをカートに入れることで必要な書類を自動的に作成します。,稼動中,Animal Search System,,http://www2.brc.riken.jp/lab/animal/search.php,"Animal Search System allows keyword searches to be performed on more than 2000 strains of mice available from the RIKEN BRC, including transgenic, knockout, inbred, wild-derived, ENU mutant and congenic strains. Although the top page is written in Japanese, each search result has a link to the English page. The system also provides detailed information that capture the characteristics of the strain, such as the strain name, description, gene details, references, availability status, images and so on.",Active,https://integbio.jp/dbcatalog/record/nbdc00005,https://integbio.jp/dbcatalog/en/record/nbdc00005,t,,,,,,
NBDC00006,,Arch GeNet,,http://riodb.ibase.aist.go.jp/db067/,データベース,好熱性古細菌 (Thermoplasma volcanium GSS1)において、環境適応性に関わる発現プロファイルの同定結果を収録したデータベースです。3種類の環境下における遺伝子発現をマイクロアレイで測定した結果と、好気的環境下、嫌気的環境下におけるタンパク質発現を2次元ゲル電気泳動で解析した結果を掲載しています。,運用終了,Arch GeNet,Archaeal Gene Network,http://riodb.ibase.aist.go.jp/db067/,"Arch genet is a database providing summaries of the expression of individual genes of Thermoplasma volcanium GSS1, a thermophilic archaeon, during adaptation to various environments, as identified experimentally. 
All the genes in a given genome are not used simultaneously at any given time in vivo, and organisms adapt to various environments by the process of re-selecting concerned populations of genes although the genomic information remains the same. Arch genet provides visual data to contribute to a better understanding of gene networks as applicable to environmental adaptation.",,https://integbio.jp/dbcatalog/record/nbdc00006,https://integbio.jp/dbcatalog/en/record/nbdc00006,t,,,,,,
NBDC00007,,ARCHAIC,,http://riodb.ibase.aist.go.jp/archaic/ARCHAIC.html,データベース,古細菌ゲノムDNAの配列とその遺伝子情報を提供しているデータベースです。古細菌ゲノムのDNA配列（独自に決定したものを含む）を独自に開発した生物情報学的手法を用いて解析することにより、ゲノム全体の構成を解明するとともにゲノム構成の比較を行うことを目的に構築しています。対象菌株は、Pyrococcus sp. OT3、Thermoplasma volcanium GSS1、Archaeoglobus fulgidus。,運用終了,ARCHAIC,Archaebacterial Information Collection,http://riodb.ibase.aist.go.jp/archaic/ARCHAIC.html,"ARCHAIC stands for 'ARCHAebacterial Information Collection' is a database of analyzed archaebacterial genomic DNA sequences. Determinations follow a consistent method so that the overall organization of the genomes can be understood better and different species can be compared based on genomic DNA sequences. Information on the identification of genes, pseudo-genes, and operons, derived by original methods, is available. The complete genomic DNA sequences of Pyrococcus sp. OT3 and Thermoplasma volcanium GSS1, an aero/anaero-facultative archaebacterium, respectively, can also be found here.",,https://integbio.jp/dbcatalog/record/nbdc00007,https://integbio.jp/dbcatalog/en/record/nbdc00007,t,,,,,,
NBDC00008,,ArkDB,,http://www.thearkdb.org/arkdb/,データベース,家畜やその他の動物のゲノムマッピングデータを提供する公共レポジトリです。ネコ、ニワトリ、ウシ、シカ、アヒル、ウマ、ブタ、ウズラ、サケ、シーバス、ヒツジ、シチメンチョウのマイクロサテライト、SSCP等のマーカーを収録しており、核型および染色体情報が一覧できます。,運用終了,ArkDB,,http://www.thearkdb.org/arkdb/,"ArkDB is a database that contains extensive mapping information of the genomes of farm animals and other animal species.

This repository records the maps in detail as well as their markers with some marker-marker relationships.

A species table provides data on specific chromosomes.

The Maps menu leads to the results of mapping analyses.

A keyword search is available.

GFF files may be downloaded and displayed in the Ensembl genome browser.",,https://integbio.jp/dbcatalog/record/nbdc00008,https://integbio.jp/dbcatalog/en/record/nbdc00008,,,,,,,
NBDC00009,,ArrayExpress,,http://www.ebi.ac.uk/arrayexpress,データベース,遺伝子発現を含む機能ゲノミクス実験データの欧州版アーカイブです。ユーザはMIAMEおよびMINSEQE形式のデータを登録したりダウンロードすることが可能です。,稼動中,ArrayExpress,ArrayExpress Archive,http://www.ebi.ac.uk/arrayexpress,"ArrayExpress is a database of experiments related to the structure, function, evolution, and mapping of genomes.
It contains information on gene expression obtained from microarray and sequencing studies.
Altogether 36,292 experiments are listed. Each experiment is described and reported in detail.
Altogether 13,748 arrays are listed and described.
Keyword and advanced search options are available.
The data may also be downloaded.",Active,https://integbio.jp/dbcatalog/record/nbdc00009,https://integbio.jp/dbcatalog/en/record/nbdc00009,,,,,,,
NBDC00010,,ARTADE,,http://omicspace.riken.jp/ARTADE/,データベース,シロイヌナズナのゲノムワイドタイリングアレイデータのアノテーションのためのプログラムです。シロイヌナズナのタイリングアレイデータにATRADEを適用した結果をデータベース化し、Webから検索できるようになっています。アカデミックユーザは、ライセンス契約同意の下で、プログラムのソースコードを自由にダウンロードできます。,運用終了,ARTADE,ARabidopsis Tiling-Array-based Detection of Exons,http://omicspace.riken.jp/ARTADE/,,,https://integbio.jp/dbcatalog/record/nbdc00010,https://integbio.jp/dbcatalog/en/record/nbdc00010,t,,,,,,
