CHEMBL1058	HMDB0013988
CHEMBL1071	HMDB0015126
CHEMBL117181	HMDB0031666
CHEMBL120697	HMDB0012958
CHEMBL1274	HMDB0014803
CHEMBL127421	HMDB0004081
CHEMBL1444	HMDB0015141
CHEMBL153658	HMDB0000958
CHEMBL159706	HMDB0038846
CHEMBL164599	HMDB0062298
CHEMBL173373	HMDB0031643
CHEMBL17860	HMDB0015606
CHEMBL239031	HMDB0132857
CHEMBL243618	HMDB0000745
CHEMBL286398	HMDB0001881
CHEMBL333230	HMDB0031842
CHEMBL353955	HMDB0000012
CHEMBL356512	HMDB0015294
CHEMBL36365	HMDB0035143
CHEMBL389022	HMDB0059785
CHEMBL40275	HMDB0030829
CHEMBL416081	HMDB0031770
CHEMBL417016	HMDB0041627
CHEMBL42710	HMDB0005809
CHEMBL54380	HMDB0038444
CHEMBL600	HMDB0001890
CHEMBL60796	HMDB0061013
CHEMBL63323	HMDB0015573
CHEMBL65369	HMDB0002466
CHEMBL697	HMDB0015611
CHEMBL743	HMDB0060571
CHEMBL87543	HMDB0041918
CHEMBL946	HMDB0014857
CHEMBL95308	HMDB0013677
CHEMBL970	HMDB0014939
CHEMBL171804	HMDB0001419
CHEMBL339630	HMDB0013960
CHEMBL38464	HMDB0040513
CHEMBL438446	HMDB0034223
CHEMBL440161	HMDB0033716
CHEMBL451721	HMDB0004667
CHEMBL451721	HMDB0061708
CHEMBL87852	HMDB0007098
CHEMBL1625	HMDB0015497
CHEMBL189999	HMDB0094673
CHEMBL251958	HMDB0030875
CHEMBL374731	HMDB0015394
CHEMBL443408	HMDB0035100
CHEMBL454580	HMDB0033316
CHEMBL454746	HMDB0130362
CHEMBL469630	HMDB0032696
CHEMBL479351	HMDB0030234
CHEMBL492491	HMDB0031791
CHEMBL493480	HMDB0031782
CHEMBL493921	HMDB0035018
CHEMBL506948	HMDB0035612
CHEMBL510014	HMDB0062577
CHEMBL561014	HMDB0035663
CHEMBL74469	HMDB0033121
CHEMBL590536	HMDB0041286
CHEMBL1163242	HMDB0038563
CHEMBL1164266	HMDB0040629
CHEMBL1164301	HMDB0029648
CHEMBL1164609	HMDB0041553
CHEMBL1232207	HMDB0003423
CHEMBL1302308	HMDB0127356
CHEMBL1397202	HMDB0031627
CHEMBL1543632	HMDB0032865
CHEMBL1558498	HMDB0036906
CHEMBL1565192	HMDB0041800
CHEMBL1454290	HMDB0000305
CHEMBL1454290	HMDB0006216
CHEMBL1454290	HMDB0006217
CHEMBL1454290	HMDB0006221
CHEMBL1533495	HMDB0059844
CHEMBL1316772	HMDB0031783
CHEMBL1374805	HMDB0037066
CHEMBL1229641	HMDB0003871
CHEMBL1437769	HMDB0002232
CHEMBL1453648	HMDB0034160
CHEMBL1414126	HMDB0035882
CHEMBL3960030	HMDB0124868
CHEMBL22969	HMDB0014710
CHEMBL1201387	HMDB0060583
CHEMBL3544830	HMDB0061019
CHEMBL2018876	HMDB0033310
CHEMBL2071438	HMDB0040926
CHEMBL2071439	HMDB0039275
CHEMBL2071440	HMDB0030801
CHEMBL2074945	HMDB0041668
CHEMBL1201391	HMDB0061047
CHEMBL1779650	HMDB0060561
CHEMBL2030560	HMDB0060711
CHEMBL2074589	HMDB0010319
CHEMBL2074921	HMDB0060534
CHEMBL611651	HMDB0039045
CHEMBL2074828	HMDB0060922
CHEMBL2063296	HMDB0040973
CHEMBL2063300	HMDB0061755
CHEMBL3182554	HMDB0014262
