mbgd_organism_id	tax_id
mbgd:sco	orth:100226
mbgd:siv	orth:1002809
mbgd:cfu	orth:1005048
mbgd:gan	orth:1005058
mbgd:put	orth:1007105
mbgd:rha	orth:101510
mbgd:ngg	orth:1028800
mbgd:asf	orth:1029718
mbgd:mph	orth:1032480
mbgd:aka	orth:1036672
mbgd:ana	orth:103690
mbgd:wko	orth:1045854
mbgd:say	orth:1051632
mbgd:tar	orth:1054217
mbgd:clg	orth:1056495
mbgd:fra	orth:106370
mbgd:med	orth:1064535
mbgd:ncs	orth:1064592
mbgd:tpf	orth:1071381
mbgd:gm02952	orth:1071383
mbgd:buc	orth:107806
mbgd:phl	orth:1082931
mbgd:tpz	orth:1089553
mbgd:mah	orth:1091494
mbgd:mpy	orth:1094980
mbgd:tmo	orth:1110502
mbgd:saga	orth:1117647
mbgd:scs	orth:111780
mbgd:lep	orth:111781
mbgd:mmk	orth:1124991
mbgd:cad	orth:1128398
mbgd:dec	orth:1131462
mbgd:udi	orth:1133592
mbgd:phm	orth:1142394
mbgd:ccx	orth:1144275
mbgd:bsd	orth:1146883
mbgd:syn	orth:1148
mbgd:psi	orth:1157951
mbgd:lfc	orth:1162668
mbgd:sdr	orth:1163617
mbgd:ffo	orth:1163730
mbgd:fae	orth:1166018
mbgd:dsf	orth:1167006
mbgd:doi	orth:1168034
mbgd:bto	orth:1171377
mbgd:cmp	orth:1173020
mbgd:cep	orth:1173022
mbgd:gei	orth:1173025
mbgd:glp	orth:1173026
mbgd:mic	orth:1173027
mbgd:sesp	orth:1179773
mbgd:plp	orth:118163
mbgd:thg	orth:1184251
mbgd:mro	orth:1191523
mbgd:thal	orth:1193729
mbgd:salv	orth:1196094
mbgd:gap	orth:1196095
mbgd:acm	orth:1198114
mbgd:sect	orth:1199245
mbgd:ple	orth:1206109
mbgd:kbl	orth:1208923
mbgd:tep	orth:1209989
mbgd:nme	orth:122586
mbgd:hsw	orth:1227739
mbgd:che	orth:1231626
mbgd:pmx	orth:123214
mbgd:gm03453	orth:1235834
mbgd:hhs	orth:1235990
mbgd:max	orth:1236689
mbgd:nga	orth:1237085
mbgd:mhq	orth:1249531
mbgd:ssal	orth:1260251
mbgd:dni	orth:1274
mbgd:scr	orth:1276227
mbgd:ror	orth:1286170
mbgd:red	orth:1294273
mbgd:mer	orth:1295009
mbgd:tol	orth:1298593
mbgd:dsl	orth:13035
mbgd:aym	orth:1313172
mbgd:saal	orth:1332188
mbgd:sali	orth:1333523
mbgd:sehc	orth:134287
mbgd:ndl	orth:1343077
mbgd:ppac	orth:1343739
mbgd:ase	orth:134676
mbgd:azl	orth:137722
mbgd:dji	orth:1379159
mbgd:dsy	orth:138119
mbgd:aeq	orth:1384484
mbgd:srb	orth:1394709
mbgd:wwe	orth:1394710
mbgd:sbe	orth:1394711
mbgd:bacc	orth:1400053
mbgd:elv	orth:1415657
mbgd:ead	orth:1416753
mbgd:ppk	orth:1416914
mbgd:hcr	orth:1427984
mbgd:rbc	orth:1433126
mbgd:cdn	orth:1437824
mbgd:kal	orth:1449976
mbgd:gm02992	orth:1458461
mbgd:mgm	orth:156889
mbgd:sbu	orth:158189
mbgd:sau	orth:158879
mbgd:dar	orth:159087
mbgd:spy	orth:160490
mbgd:xfa	orth:160492
mbgd:wol	orth:163164
mbgd:tpy	orth:1661
mbgd:pma	orth:167539
mbgd:cps	orth:167879
mbgd:atu	orth:176299
mbgd:ftu	orth:177416
mbgd:dat	orth:177437
mbgd:dps	orth:177439
mbgd:pai	orth:178306
mbgd:tbr	orth:185431
mbgd:aeh	orth:187272
mbgd:msc	orth:187303
mbgd:mth	orth:187420
mbgd:mac	orth:188937
mbgd:lil	orth:189518
mbgd:mka	orth:190192
mbgd:fnu	orth:190304
mbgd:xac	orth:190486
mbgd:ccr	orth:190650
mbgd:cje	orth:192222
mbgd:cte	orth:194439
mbgd:nca	orth:196162
mbgd:cgl	orth:196627
mbgd:tel	orth:197221
mbgd:sfl	orth:198214
mbgd:cth	orth:203119
mbgd:lme	orth:203120
mbgd:sde	orth:203122
mbgd:ooe	orth:203123
mbgd:ter	orth:203124
mbgd:tfo	orth:203275
mbgd:bfl	orth:203907
mbgd:aba	orth:204669
mbgd:har	orth:204773
mbgd:hso	orth:205914
mbgd:blo	orth:206672
mbgd:crn	orth:208596
mbgd:pae	orth:208964
mbgd:son	orth:211586
mbgd:ype	orth:214092
mbgd:cat	orth:216432
mbgd:eca	orth:218491
mbgd:tws	orth:218496
mbgd:lpl	orth:220668
mbgd:oih	orth:221109
mbgd:msu	orth:221988
mbgd:nse	orth:222891
mbgd:bsu	orth:224308
mbgd:aae	orth:224324
mbgd:afu	orth:224325
mbgd:bbu	orth:224326
mbgd:bja	orth:224911
mbgd:bme	orth:224914
mbgd:efa	orth:226185
mbgd:bth	orth:226186
mbgd:cbu	orth:227377
mbgd:cca	orth:227941
mbgd:hne	orth:228405
mbgd:neu	orth:228410
mbgd:neq	orth:228908
mbgd:fgr	orth:229533
mbgd:sus	orth:234267
mbgd:ama	orth:234826
mbgd:gka	orth:235909
mbgd:uma	orth:237631
mbgd:aca	orth:240015
mbgd:gm03554	orth:240016
mbgd:ava	orth:240292
mbgd:mgr	orth:242507
mbgd:pgi	orth:242619
mbgd:rba	orth:243090
mbgd:det	orth:243164
mbgd:dra	orth:243230
mbgd:gsu	orth:243231
mbgd:mja	orth:243232
mbgd:mca	orth:243233
mbgd:plu	orth:243265
mbgd:mge	orth:243273
mbgd:tma	orth:243274
mbgd:tpa	orth:243276
mbgd:vch	orth:243277
mbgd:cvi	orth:243365
mbgd:chy	orth:246194
mbgd:dno	orth:246195
mbgd:mxa	orth:246197
mbgd:sil	orth:246200
mbgd:nfa	orth:247156
mbgd:gvi	orth:251221
mbgd:cthe	orth:251229
mbgd:eru	orth:254945
mbgd:bbr	orth:257310
mbgd:rpa	orth:258594
mbgd:par	orth:259536
mbgd:mbu	orth:259564
mbgd:esi	orth:262543
mbgd:tth	orth:262724
mbgd:poy	orth:262768
mbgd:vma	orth:263358
mbgd:pto	orth:263820
mbgd:reu	orth:264198
mbgd:pcu	orth:264201
mbgd:zmo	orth:264203
mbgd:bba	orth:264462
mbgd:mta	orth:264732
mbgd:mfa	orth:265072
mbgd:mfl	orth:265311
mbgd:rxy	orth:266117
mbgd:mes	orth:266779
mbgd:sme	orth:266834
mbgd:mlo	orth:266835
mbgd:kra	orth:266940
mbgd:mmp	orth:267377
mbgd:pac	orth:267747
mbgd:rru	orth:269796
mbgd:chu	orth:269798
mbgd:tfu	orth:269800
mbgd:ape	orth:272557
mbgd:bps	orth:272560
mbgd:ctr	orth:272561
mbgd:cac	orth:272562
mbgd:cdf	orth:272563
mbgd:gdj	orth:272568
mbgd:hma	orth:272569
mbgd:kpn	orth:272620
mbgd:lla	orth:272623
mbgd:lpn	orth:272624
mbgd:lin	orth:272626
mbgd:pmu	orth:272843
mbgd:rsp	orth:272943
mbgd:rpr	orth:272947
mbgd:sso	orth:273057
mbgd:tte	orth:273068
mbgd:tac	orth:273075
mbgd:uur	orth:273119
mbgd:wsu	orth:273121
mbgd:ppe	orth:278197
mbgd:nar	orth:279238
mbgd:lxx	orth:281090
mbgd:bhe	orth:283166
mbgd:cnb	orth:283643
mbgd:ilo	orth:283942
mbgd:kla	orth:284590
