mbgd_gene_id	protein_id
ash:AL1_RS00015	ncbip:WP_044053896.1
ash:AL1_RS00035	ncbip:WP_015545718.1
ash:AL1_RS00040	ncbip:WP_015545719.1
ash:AL1_RS00050	ncbip:WP_015545720.1
ash:AL1_RS00055	ncbip:WP_015545721.1
ash:AL1_RS00070	ncbip:WP_015545723.1
ash:AL1_RS00075	ncbip:WP_015545724.1
ash:AL1_RS00080	ncbip:WP_044053899.1
ash:AL1_RS00090	ncbip:WP_044054630.1
ash:AL1_RS00095	ncbip:WP_015545729.1
ash:AL1_RS00105	ncbip:WP_044053901.1
ash:AL1_RS00115	ncbip:WP_044053902.1
ash:AL1_RS00120	ncbip:WP_044054632.1
ash:AL1_RS00130	ncbip:WP_015545736.1
ash:AL1_RS00165	ncbip:WP_015545739.1
ash:AL1_RS00170	ncbip:WP_009597001.1
ash:AL1_RS00175	ncbip:WP_015545740.1
ash:AL1_RS00185	ncbip:WP_009597069.1
ash:AL1_RS00195	ncbip:WP_015545742.1
ash:AL1_RS00200	ncbip:WP_015545743.1
ash:AL1_RS00210	ncbip:WP_014775645.1
ash:AL1_RS00215	ncbip:WP_015545744.1
ash:AL1_RS00230	ncbip:WP_044053905.1
ash:AL1_RS00235	ncbip:WP_009597005.1
ash:AL1_RS00240	ncbip:WP_015545746.1
ash:AL1_RS00255	ncbip:WP_015545747.1
ash:AL1_RS00260	ncbip:WP_015545748.1
ash:AL1_RS00300	ncbip:WP_015545753.1
ash:AL1_RS00310	ncbip:WP_015545755.1
ash:AL1_RS00315	ncbip:WP_015545756.1
ash:AL1_RS00320	ncbip:WP_015545757.1
ash:AL1_RS00350	ncbip:WP_044053910.1
ash:AL1_RS00355	ncbip:WP_015545763.1
ash:AL1_RS00360	ncbip:WP_015545764.1
ash:AL1_RS00370	ncbip:WP_044053911.1
ash:AL1_RS00380	ncbip:WP_015545768.1
ash:AL1_RS00390	ncbip:WP_015545769.1
ash:AL1_RS00395	ncbip:WP_015545770.1
ash:AL1_RS00400	ncbip:WP_015545771.1
ash:AL1_RS00405	ncbip:WP_015545772.1
ash:AL1_RS00420	ncbip:WP_044053914.1
ash:AL1_RS00430	ncbip:WP_015545777.1
ash:AL1_RS00445	ncbip:WP_022061887.1
ash:AL1_RS00450	ncbip:WP_015545779.1
ash:AL1_RS00455	ncbip:WP_015545780.1
ash:AL1_RS00465	ncbip:WP_044053916.1
ash:AL1_RS00470	ncbip:WP_015545783.1
ash:AL1_RS00480	ncbip:WP_015545785.1
ash:AL1_RS00490	ncbip:WP_015545786.1
ash:AL1_RS00495	ncbip:WP_015545787.1
ash:AL1_RS00505	ncbip:WP_015545788.1
ash:AL1_RS00510	ncbip:WP_015545789.1
ash:AL1_RS00520	ncbip:WP_015545790.1
ash:AL1_RS00535	ncbip:WP_015545792.1
ash:AL1_RS00545	ncbip:WP_015545793.1
ash:AL1_RS00550	ncbip:WP_015545794.1
ash:AL1_RS00560	ncbip:WP_015545796.1
ash:AL1_RS00565	ncbip:WP_044054641.1
ash:AL1_RS00590	ncbip:WP_015545801.1
ash:AL1_RS00615	ncbip:WP_015545806.1
ash:AL1_RS00655	ncbip:WP_015545814.1
ash:AL1_RS00695	ncbip:WP_015545822.1
ash:AL1_RS00720	ncbip:WP_015545827.1
ash:AL1_RS00765	ncbip:WP_015545833.1
ash:AL1_RS00775	ncbip:WP_015545834.1
ash:AL1_RS00780	ncbip:WP_015545835.1
ash:AL1_RS00785	ncbip:WP_019131463.1
ash:AL1_RS00800	ncbip:WP_015545839.1
ash:AL1_RS00820	ncbip:WP_015545843.1
ash:AL1_RS00900	ncbip:WP_015545855.1
ash:AL1_RS00915	ncbip:WP_015545857.1
ash:AL1_RS00930	ncbip:WP_015545860.1
ash:AL1_RS00935	ncbip:WP_015545861.1
ash:AL1_RS00945	ncbip:WP_015545862.1
ash:AL1_RS00950	ncbip:WP_044054644.1
ash:AL1_RS00960	ncbip:WP_015545865.1
ash:AL1_RS00970	ncbip:WP_015545866.1
ash:AL1_RS00985	ncbip:WP_015545868.1
ash:AL1_RS01005	ncbip:WP_044053924.1
ash:AL1_RS01010	ncbip:WP_015545872.1
ash:AL1_RS01020	ncbip:WP_015545874.1
ash:AL1_RS01030	ncbip:WP_015545877.1
ash:AL1_RS01035	ncbip:WP_015545878.1
ash:AL1_RS01070	ncbip:WP_015545882.1
ash:AL1_RS01075	ncbip:WP_015545883.1
ash:AL1_RS01095	ncbip:WP_044054650.1
ash:AL1_RS01100	ncbip:WP_044054651.1
ash:AL1_RS01105	ncbip:WP_015545887.1
ash:AL1_RS01110	ncbip:WP_015545888.1
ash:AL1_RS01120	ncbip:WP_044054653.1
ash:AL1_RS01130	ncbip:WP_015545892.1
ash:AL1_RS01135	ncbip:WP_015545893.1
ash:AL1_RS01140	ncbip:WP_022062581.1
ash:AL1_RS01145	ncbip:WP_015545895.1
ash:AL1_RS01155	ncbip:WP_015545897.1
ash:AL1_RS01165	ncbip:WP_015545898.1
ash:AL1_RS01170	ncbip:WP_015545899.1
ash:AL1_RS01185	ncbip:WP_015545902.1
ash:AL1_RS01190	ncbip:WP_015545903.1
ash:AL1_RS01195	ncbip:WP_015545904.1
ash:AL1_RS01200	ncbip:WP_015545905.1
ash:AL1_RS01205	ncbip:WP_044053928.1
ash:AL1_RS01225	ncbip:WP_015545908.1
ash:AL1_RS01230	ncbip:WP_015545909.1
ash:AL1_RS01235	ncbip:WP_015545910.1
ash:AL1_RS01245	ncbip:WP_015545911.1
ash:AL1_RS01275	ncbip:WP_015545916.1
ash:AL1_RS01280	ncbip:WP_015545917.1
ash:AL1_RS01290	ncbip:WP_015545918.1
ash:AL1_RS01295	ncbip:WP_022062280.1
ash:AL1_RS01305	ncbip:WP_015545920.1
ash:AL1_RS01310	ncbip:WP_015545921.1
ash:AL1_RS01315	ncbip:WP_015545922.1
ash:AL1_RS01320	ncbip:WP_015545923.1
ash:AL1_RS01325	ncbip:WP_015545924.1
ash:AL1_RS01340	ncbip:WP_015545928.1
ash:AL1_RS01345	ncbip:WP_044054659.1
ash:AL1_RS01355	ncbip:WP_015545931.1
ash:AL1_RS01360	ncbip:WP_015545932.1
ash:AL1_RS01370	ncbip:WP_015545933.1
ash:AL1_RS01375	ncbip:WP_015545934.1
ash:AL1_RS01385	ncbip:WP_044054661.1
ash:AL1_RS01395	ncbip:WP_022062298.1
ash:AL1_RS01410	ncbip:WP_015545939.1
ash:AL1_RS01425	ncbip:WP_044053933.1
ash:AL1_RS01450	ncbip:WP_015545947.1
ash:AL1_RS01455	ncbip:WP_015545948.1
ash:AL1_RS01465	ncbip:WP_015545950.1
ash:AL1_RS01470	ncbip:WP_015545951.1
ash:AL1_RS01490	ncbip:WP_015545953.1
ash:AL1_RS01500	ncbip:WP_015545954.1
ash:AL1_RS01505	ncbip:WP_015545955.1
ash:AL1_RS01510	ncbip:WP_015545956.1
ash:AL1_RS01540	ncbip:WP_009597166.1
ash:AL1_RS01555	ncbip:WP_044053935.1
ash:AL1_RS01565	ncbip:WP_015545966.1
ash:AL1_RS01605	ncbip:WP_015545973.1
ash:AL1_RS01640	ncbip:WP_009596771.1
ash:AL1_RS01645	ncbip:WP_015545977.1
ash:AL1_RS01670	ncbip:WP_015545978.1
ash:AL1_RS01705	ncbip:WP_014776481.1
ash:AL1_RS01735	ncbip:WP_044053940.1
ash:AL1_RS01745	ncbip:WP_015545982.1
ash:AL1_RS01765	ncbip:WP_015545985.1
ash:AL1_RS01775	ncbip:WP_015545987.1
ash:AL1_RS01785	ncbip:WP_015545988.1
ash:AL1_RS01810	ncbip:WP_044053944.1
ash:AL1_RS01815	ncbip:WP_015545990.1
ash:AL1_RS01820	ncbip:WP_044054668.1
ash:AL1_RS01825	ncbip:WP_015545992.1
ash:AL1_RS01830	ncbip:WP_015545993.1
ash:AL1_RS01840	ncbip:WP_015545994.1
ash:AL1_RS01860	ncbip:WP_015545996.1
ash:AL1_RS01885	ncbip:WP_015545999.1
ash:AL1_RS01890	ncbip:WP_015546000.1
ash:AL1_RS01900	ncbip:WP_015546001.1
ash:AL1_RS01905	ncbip:WP_015546002.1
ash:AL1_RS01910	ncbip:WP_015546003.1
ash:AL1_RS01915	ncbip:WP_015546004.1
ash:AL1_RS01955	ncbip:WP_015546005.1
ash:AL1_RS01965	ncbip:WP_015546008.1
ash:AL1_RS01985	ncbip:WP_015546012.1
ash:AL1_RS01995	ncbip:WP_015546013.1
ash:AL1_RS02000	ncbip:WP_015546014.1
ash:AL1_RS02005	ncbip:WP_022062075.1
ash:AL1_RS02010	ncbip:WP_015546016.1
ash:AL1_RS02020	ncbip:WP_015546018.1
ash:AL1_RS02030	ncbip:WP_015546020.1
ash:AL1_RS02035	ncbip:WP_015546021.1
ash:AL1_RS02055	ncbip:WP_044054672.1
ash:AL1_RS02070	ncbip:WP_015546027.1
ash:AL1_RS02090	ncbip:WP_015546030.1
ash:AL1_RS02100	ncbip:WP_015546032.1
ash:AL1_RS02105	ncbip:WP_015546033.1
ash:AL1_RS02110	ncbip:WP_015546034.1
ash:AL1_RS02115	ncbip:WP_015546035.1
ash:AL1_RS02120	ncbip:WP_015546036.1
ash:AL1_RS02125	ncbip:WP_015546037.1
ash:AL1_RS02145	ncbip:WP_015546040.1
ash:AL1_RS02150	ncbip:WP_015546041.1
ash:AL1_RS02160	ncbip:WP_044053959.1
ash:AL1_RS02165	ncbip:WP_015546043.1
ash:AL1_RS02170	ncbip:WP_015546044.1
ash:AL1_RS02175	ncbip:WP_015546045.1
ash:AL1_RS02180	ncbip:WP_015546046.1
ash:AL1_RS02185	ncbip:WP_015546047.1
ash:AL1_RS02190	ncbip:WP_015546048.1
ash:AL1_RS02195	ncbip:WP_015546049.1
ash:AL1_RS02200	ncbip:WP_044053960.1
ash:AL1_RS02205	ncbip:WP_015546051.1
ash:AL1_RS02210	ncbip:WP_015546052.1
ash:AL1_RS02215	ncbip:WP_015546053.1
ash:AL1_RS02220	ncbip:WP_044054673.1
ash:AL1_RS02225	ncbip:WP_015546055.1
ash:AL1_RS02250	ncbip:WP_015546057.1
ash:AL1_RS02270	ncbip:WP_015546059.1
ash:AL1_RS02285	ncbip:WP_015546061.1
ash:AL1_RS02290	ncbip:WP_015546062.1
ash:AL1_RS02295	ncbip:WP_015546063.1
ash:AL1_RS02310	ncbip:WP_015546065.1
ash:AL1_RS02315	ncbip:WP_015546066.1
ash:AL1_RS02320	ncbip:WP_015546067.1
ash:AL1_RS02325	ncbip:WP_015546068.1
ash:AL1_RS02330	ncbip:WP_015546069.1
ash:AL1_RS02335	ncbip:WP_015546070.1
ash:AL1_RS02340	ncbip:WP_015546071.1
ash:AL1_RS02345	ncbip:WP_044054675.1
ash:AL1_RS02350	ncbip:WP_015546073.1
ash:AL1_RS02360	ncbip:WP_022061855.1
ash:AL1_RS02365	ncbip:WP_015546076.1
ash:AL1_RS02380	ncbip:WP_044053966.1
ash:AL1_RS02385	ncbip:WP_015546080.1
ash:AL1_RS02400	ncbip:WP_015546081.1
ash:AL1_RS02405	ncbip:WP_015546082.1
ash:AL1_RS02415	ncbip:WP_015546084.1
ash:AL1_RS02435	ncbip:WP_015546086.1
ash:AL1_RS02440	ncbip:WP_015546087.1
ash:AL1_RS02445	ncbip:WP_015546088.1
ash:AL1_RS02455	ncbip:WP_015546089.1
ash:AL1_RS02460	ncbip:WP_015546090.1
ash:AL1_RS02465	ncbip:WP_015546091.1
ash:AL1_RS02470	ncbip:WP_015546092.1
ash:AL1_RS02475	ncbip:WP_015546093.1
ash:AL1_RS02485	ncbip:WP_015546094.1
ash:AL1_RS02495	ncbip:WP_015546095.1
ash:AL1_RS02500	ncbip:WP_015546096.1
ash:AL1_RS02510	ncbip:WP_015546097.1
ash:AL1_RS02515	ncbip:WP_015546098.1
ash:AL1_RS02525	ncbip:WP_015546099.1
ash:AL1_RS02535	ncbip:WP_044054680.1
ash:AL1_RS02540	ncbip:WP_015546102.1
ash:AL1_RS02545	ncbip:WP_015546103.1
ash:AL1_RS02555	ncbip:WP_015546105.1
ash:AL1_RS02560	ncbip:WP_015546106.1
ash:AL1_RS02565	ncbip:WP_015546107.1
ash:AL1_RS02570	ncbip:WP_015546108.1
ash:AL1_RS02575	ncbip:WP_015546109.1
ash:AL1_RS02585	ncbip:WP_015546111.1
ash:AL1_RS02600	ncbip:WP_015546112.1
ash:AL1_RS02605	ncbip:WP_044054681.1
ash:AL1_RS02610	ncbip:WP_022061485.1
ash:AL1_RS02615	ncbip:WP_015546115.1
ash:AL1_RS02620	ncbip:WP_015546116.1
ash:AL1_RS02625	ncbip:WP_015546117.1
