gene	uniprot
hsa:HSA_10047086	uniplot:B3KTV8
hsa:HSA_10047086	uniplot:I6S2Y9
hsa:HSA_10047086	uniplot:Q9UJM3
hsa:HSA_10047104	uniplot:Q9UHA2
hsa:HSA_10047104	uniplot:A0A024R2Q8
hsa:HSA_10047140	uniplot:Q9NRX1
hsa:HSA_100816140	uniplot:Q5H9S7
hsa:HSA_100913206	uniplot:B3KU66
hsa:HSA_100913206	uniplot:Q08211
hsa:HSA_10092643	uniplot:Q9Y548
hsa:HSA_10092667	uniplot:Q9NUC0
hsa:HSA_10140845	uniplot:P29322
hsa:HSA_10190712	uniplot:Q9HCY8
hsa:HSA_10190716	uniplot:Q9HBM1
hsa:HSA_10190746	uniplot:Q53RX3
hsa:HSA_10190746	uniplot:Q9HBH5
hsa:HSA_102469034	uniplot:P23458
hsa:HSA_10280622	uniplot:P19961
hsa:HSA_10304987	uniplot:Q9Y5Z6
hsa:HSA_10337603	uniplot:O75610
hsa:HSA_103471997	uniplot:O95602
hsa:HSA_104294874	uniplot:Q5JT82
hsa:HSA_10518338	uniplot:P07315
hsa:HSA_10518338	uniplot:A0A0X8GLL6
hsa:HSA_105554465	uniplot:Q86W67
hsa:HSA_105990532	uniplot:P04114
hsa:HSA_105990532	uniplot:Q59HB3
hsa:HSA_105990532	uniplot:Q7Z7Q0
hsa:HSA_105990535	uniplot:P12259
hsa:HSA_105990541	uniplot:P78363
hsa:HSA_105990541	uniplot:Q6AI28
hsa:HSA_106067657	uniplot:P22888
hsa:HSA_106775678	uniplot:Q6FI13
hsa:HSA_10800412	uniplot:Q9UPY8
hsa:HSA_10834972	uniplot:P19397
hsa:HSA_10834982	uniplot:P24593
hsa:HSA_10834982	uniplot:A0A024R433
hsa:HSA_10835067	uniplot:P05455
hsa:HSA_10835079	uniplot:O95377
hsa:HSA_10835141	uniplot:P22301
hsa:HSA_10835141	uniplot:Q6FGW4
hsa:HSA_10835145	uniplot:P01584
hsa:HSA_10835248	uniplot:P48304
hsa:HSA_10835248	uniplot:Q6ICS1
hsa:HSA_10863895	uniplot:P63313
hsa:HSA_10863913	uniplot:P32418
hsa:HSA_10863929	uniplot:Q05823
hsa:HSA_10863945	uniplot:P13010
hsa:HSA_10863949	uniplot:O43827
hsa:HSA_10863987	uniplot:Q12836
hsa:HSA_108773808	uniplot:Q6PII3
hsa:HSA_109134336	uniplot:O60239
hsa:HSA_109134336	uniplot:A0A024R2G6
hsa:HSA_109150416	uniplot:Q92626
hsa:HSA_109150425	uniplot:Q9H8Y5
hsa:HSA_109150425	uniplot:A0A024R464
hsa:HSA_109240536	uniplot:Q5T1A1
hsa:HSA_109240538	uniplot:Q9BSM1
hsa:HSA_109255241	uniplot:P49279
hsa:HSA_109255241	uniplot:A0A024R474
hsa:HSA_109255251	uniplot:P23490
hsa:HSA_109452591	uniplot:P53597
hsa:HSA_109637795	uniplot:O75461
hsa:HSA_109637795	uniplot:A0A0S2Z3K8
hsa:HSA_109715827	uniplot:P13682
hsa:HSA_109715839	uniplot:Q9UKB5
hsa:HSA_109715844	uniplot:Q7Z465
hsa:HSA_109715856	uniplot:Q8TDX5
hsa:HSA_110238585	uniplot:Q9BTA0
hsa:HSA_110347427	uniplot:Q70CQ2
hsa:HSA_11034843	uniplot:Q7L0Q8
hsa:HSA_11034843	uniplot:A0A024R3Q7
hsa:HSA_110349756	uniplot:Q9UHY8
hsa:HSA_110349759	uniplot:Q53FM2
hsa:HSA_110349759	uniplot:Q96IY1
hsa:HSA_110349767	uniplot:Q13698
hsa:HSA_110349786	uniplot:Q8TCU4
hsa:HSA_110349788	uniplot:Q9NR48
hsa:HSA_110349799	uniplot:Q96S53
hsa:HSA_11037063	uniplot:Q53T26
hsa:HSA_11037063	uniplot:Q96FA3
hsa:HSA_11056016	uniplot:Q9HC44
hsa:HSA_11056046	uniplot:Q8N126
hsa:HSA_11056054	uniplot:Q92519
hsa:HSA_110578649	uniplot:Q5VU97
hsa:HSA_110578649	uniplot:A0A0A0MQY7
hsa:HSA_110611231	uniplot:A8K7I4
hsa:HSA_110618224	uniplot:P06126
hsa:HSA_110618240	uniplot:A2RRL5
hsa:HSA_110618240	uniplot:P15812
hsa:HSA_110624765	uniplot:Q03052
hsa:HSA_110624783	uniplot:Q5T9Z0
hsa:HSA_110735402	uniplot:Q92729
hsa:HSA_111185922	uniplot:Q8NEA4
hsa:HSA_11136628	uniplot:P24534
hsa:HSA_11136628	uniplot:A0A024R3W7
hsa:HSA_111378393	uniplot:Q01118
hsa:HSA_11141885	uniplot:Q9GZV3
hsa:HSA_11141887	uniplot:Q9GZV7
hsa:HSA_111494248	uniplot:P08134
hsa:HSA_111494248	uniplot:A0A024R0I3
hsa:HSA_11181770	uniplot:Q9NP91
hsa:HSA_112293277	uniplot:O75937
hsa:HSA_112380630	uniplot:P29536
hsa:HSA_112382216	uniplot:Q9P2R6
hsa:HSA_112382216	uniplot:A0A024R4E9
hsa:HSA_112382220	uniplot:P51800
hsa:HSA_112382250	uniplot:B2ZZ89
hsa:HSA_112382250	uniplot:Q01082
hsa:HSA_112382285	uniplot:Q92935
hsa:HSA_112382372	uniplot:Q9H0R5
hsa:HSA_112421013	uniplot:Q9P2F8
hsa:HSA_112421127	uniplot:Q8NG06
hsa:HSA_112734857	uniplot:A1KXE4
hsa:HSA_112734857	uniplot:A0A024QZ31
hsa:HSA_112734870	uniplot:Q9P206
hsa:HSA_11276085	uniplot:O60656
hsa:HSA_11276085	uniplot:Q5DSZ5
hsa:HSA_112789566	uniplot:Q8TE23
hsa:HSA_112790163	uniplot:Q14872
hsa:HSA_112799849	uniplot:Q13625
hsa:HSA_113204604	uniplot:O95076
hsa:HSA_113205075	uniplot:Q96Q45
hsa:HSA_113205089	uniplot:B4DSJ9
hsa:HSA_113205089	uniplot:Q5SVZ6
hsa:HSA_113205089	uniplot:Q9H5R2
hsa:HSA_11321565	uniplot:O15232
hsa:HSA_11321585	uniplot:P62873
hsa:HSA_11321585	uniplot:A0A024R056
hsa:HSA_11342680	uniplot:P42025
hsa:HSA_11386157	uniplot:P32320
